File,Line,Sentiment,Mixed Score,Negative Score,Neutral Score,Positive Score
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.003014421,0.963158548,0.028158927,0.005668113
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.001940277,0.076962993,0.634225309,0.286871403
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.0199081,0.163241044,0.790664256,0.026186572
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.010880196,0.331210732,0.646254718,0.011654303
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.005232231,0.363541871,0.623570085,0.007655774
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.056705575,0.118112333,0.770324767,0.054857299
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",9.43E-06,0.001350218,0.996257424,0.002382979
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.031061895,0.075662948,0.819753349,0.073521815
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",2.00E-05,0.000398174,0.976944804,0.02263693
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",3.62E-05,0.000260914,0.998099029,0.001603881
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",2.63E-05,0.004342261,0.994147301,0.001484095
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.068481371,0.104581475,0.168388873,0.658548295
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.233677939,0.190103441,0.506531537,0.069687068
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.001255115,0.032823425,0.918991506,0.046929915
" ""The Sun Also Rises.txt""",1," ""MIXED""",0.508793056,0.433006674,0.025805207,0.032395106
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.087307088,0.772543311,0.126783416,0.013366184
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.001801965,0.025529675,0.944625854,0.028042594
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.006631232,0.007468618,0.29909122,0.686808944
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.081611648,0.517769873,0.385311902,0.01530654
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.015138477,0.244916663,0.731033564,0.008911308
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.013756962,0.665022969,0.2964468,0.024773261
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.002855302,0.172279254,0.814965546,0.009899994
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.034556963,0.108748317,0.77932936,0.077365294
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.015149588,0.597540557,0.381467223,0.005842638
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.254178852,0.243571326,0.232545197,0.26970458
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.000266,0.004063002,0.994648993,0.001022098
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.011638453,0.090415686,0.856923521,0.041022323
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.099109791,0.080471687,0.804353058,0.016065428
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.000499372,0.000124995,0.998334348,0.001041303
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",2.00E-05,0.001110248,0.995382845,0.003486835
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.000165577,0.007466699,0.978660166,0.013707655
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.000368773,0.692888379,0.305564433,0.00117832
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.376343668,0.023339117,0.104558714,0.495758593
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.01949832,0.863285184,0.109019108,0.00819729
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.102144785,0.775098205,0.097904645,0.024852321
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.146527678,0.135905638,0.654696405,0.062870346
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.003551615,0.021345586,0.751750648,0.223352164
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.008381164,0.413510412,0.263472676,0.314635724
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.017889906,0.015566676,0.224327162,0.742216229
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.003967115,0.974782407,0.020705458,0.000545014
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.03222125,0.046740096,0.862420917,0.058617722
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.002225942,0.029267427,0.880264759,0.088241935
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.001432235,0.144695848,0.833749771,0.02012221
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.078231946,0.02355345,0.792720854,0.105493702
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",1.34E-05,0.000524068,0.996505737,0.002956798
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.004643422,0.007261706,0.877202094,0.110892721
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.000204423,0.00162815,0.995702922,0.002464487
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.10765744,0.067678303,0.744931877,0.07973244
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.05672279,0.690027535,0.246637106,0.006612615
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.003648536,0.02083395,0.903793216,0.071724296
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.058174588,0.095272422,0.811269999,0.035283022
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.002582344,0.354389101,0.605986476,0.037042033
" ""The Sun Also Rises.txt""",1," ""MIXED""",0.66333729,0.007472753,0.024740554,0.304449379
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.001916005,0.052116781,0.940973341,0.004993829
" ""The Sun Also Rises.txt""",1," ""MIXED""",0.728894055,0.043236043,0.074024253,0.153845653
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.005974259,0.896195412,0.093774989,0.004055314
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",2.70E-05,0.000133674,0.997592747,0.002246502
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.047625914,0.029393066,0.869865954,0.053115021
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.000125792,0.002411576,0.90490061,0.09256196
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",8.70E-05,0.001715878,0.979111671,0.019085515
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.000299178,0.05712587,0.867057681,0.075517319
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.000378501,0.006477586,0.891297877,0.101845995
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.118010297,0.020467468,0.596006632,0.265515596
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",8.90E-06,0.00025407,0.998891056,0.000845917
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",1.85E-05,0.001709163,0.988146722,0.010125543
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""MIXED""",0.542527556,0.296940744,0.142649621,0.017882071
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.000447577,0.00380955,0.939577579,0.056165285
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.082786418,0.025192169,0.326115757,0.565905631
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.001419962,0.309702694,0.611220002,0.077657394
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.040650006,0.165600404,0.744739354,0.049010221
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",1.60E-05,0.005135785,0.985105038,0.00974316
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.00020535,0.067164309,0.927770019,0.004860254
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.010939503,0.077867612,0.149074987,0.762117982
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.001223539,0.01860163,0.977265537,0.002909285
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",5.45E-05,0.024104614,0.940900326,0.034940604
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",1.18E-05,0.006118293,0.988447845,0.005422069
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.000285248,0.163862482,0.81938988,0.016462397
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.002328732,0.869456649,0.126742229,0.0014724
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.000534686,0.830403328,0.166455746,0.002606265
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.013365171,0.034983911,0.914876699,0.036774192
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.00515645,0.280807823,0.632035196,0.082000569
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.003068633,0.518620431,0.473051816,0.005259098
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.01375821,0.036806084,0.939317107,0.010118589
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",1.40E-05,0.004654292,0.961326063,0.034005631
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.002551489,0.144071952,0.624706328,0.22867021
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.000551104,0.001423546,0.088447407,0.909577966
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.000180481,0.007310335,0.938050032,0.054459129
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.000988186,0.028488811,0.318801314,0.651721716
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",1.35E-05,0.003063343,0.954943657,0.041979469
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",2.79E-05,0.005414538,0.872288525,0.122269027
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.000411173,0.019182917,0.978130758,0.002275206
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",4.53E-05,0.007624588,0.872525513,0.119804524
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.002188364,0.01459492,0.85828042,0.124936357
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.000188955,0.347132474,0.645528913,0.007149651
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",9.84E-05,0.006281229,0.89052248,0.103097849
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.005217758,0.001768759,0.005621815,0.987391651
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.028321158,0.013914746,0.879030764,0.078733347
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",3.57E-06,0.004794226,0.992042363,0.003159824
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.000330028,0.002968861,0.99293834,0.003762804
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.000739732,0.008322519,0.913510501,0.077427216
" ""The Sun Also Rises.txt""",1," ""MIXED""",0.500761271,0.478226066,0.010734556,0.010278053
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.040480401,0.379097551,0.569023252,0.011398783
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.00080696,0.01092822,0.192875594,0.795389295
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.073719941,0.010817295,0.221308008,0.694154739
" ""The Sun Also Rises.txt""",1," ""MIXED""",0.616266727,0.344162643,0.020077476,0.019493209
" ""The Sun Also Rises.txt""",1," ""MIXED""",0.455735564,0.25579071,0.101867557,0.186606094
" ""The Sun Also Rises.txt""",1," ""MIXED""",0.709629357,0.097049952,0.051672958,0.141647756
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.196139619,0.302443683,0.476918876,0.024497772
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.002022381,0.00639616,0.920761704,0.070819736
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.133179963,0.080538988,0.467220038,0.319060981
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.001159639,0.045128491,0.942297637,0.011414264
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",7.94E-05,0.012667708,0.985155165,0.002097721
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.342837542,0.046616293,0.507000506,0.10354571
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.074275717,0.012611569,0.235931098,0.677181661
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.145150691,0.057889067,0.6667822,0.130178005
" ""The Sun Also Rises.txt""",1," ""MIXED""",0.788676977,0.039731421,0.02804313,0.143548489
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.006955286,0.323049545,0.556144416,0.113850757
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.026766369,0.274746031,0.6338588,0.06462881
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.00252216,0.933083057,0.055956904,0.008437891
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.007714236,0.130239844,0.795376003,0.066669866
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.013955375,0.064879663,0.86101383,0.060151141
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.002594355,0.174443185,0.797522485,0.025440028
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.185529768,0.179516941,0.594527781,0.040425513
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",8.13E-05,0.97319603,0.021236384,0.005486316
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.002179412,0.000476697,0.066628344,0.930715561
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.001633013,0.001420295,0.144363314,0.852583408
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",1.45E-05,0.000154077,0.002278336,0.997553051
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.272028595,0.090840802,0.42700547,0.210125148
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.005130238,0.004424392,0.988096952,0.002348396
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.040969234,0.104156263,0.417707771,0.437166691
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.001064203,0.254317611,0.654102623,0.090515524
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.011283986,0.069498874,0.91355896,0.005658282
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.004342214,0.01214534,0.00464334,0.97886914
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.007771536,0.632554889,0.322827965,0.036845595
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.002142949,0.023912139,0.880434036,0.093510881
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.001312057,0.081653357,0.807303011,0.109731659
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",6.09E-06,0.002061014,0.994827807,0.003105136
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.015077719,0.4496454,0.528409421,0.006867469
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.000397157,0.033566341,0.958653808,0.007382756
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.008849907,0.593159378,0.370169759,0.02782107
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",2.63E-05,0.015997306,0.954506099,0.029470349
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.000589275,0.394005716,0.60060966,0.004795424
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.024265116,0.723697901,0.231544286,0.020492692
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.025177872,0.322728604,0.603346169,0.048747279
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.003345989,0.07956066,0.83109653,0.085996896
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.004776332,0.07063324,0.908339798,0.016250625
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.015077719,0.4496454,0.528409421,0.006867469
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.001309044,0.096015409,0.901294291,0.001381207
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.000363823,0.121841565,0.870974064,0.00682062
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",6.07E-05,0.024342736,0.944908857,0.030687636
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.000128509,0.044348773,0.950323403,0.005199368
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.007867864,0.069191486,0.3336052,0.589335442
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",6.53E-05,0.00260272,0.107881933,0.889450073
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.000168358,0.005512016,0.930190027,0.064129665
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.002803319,0.38770172,0.596311212,0.013183748
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.004959937,0.105799481,0.622915447,0.266325146
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.000178819,0.014425142,0.074459709,0.910936236
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.004484528,0.234021947,0.747714102,0.013779444
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.000915037,0.043015804,0.34751904,0.608550072
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.050042082,0.840034187,0.091272742,0.01865105
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.018342381,0.569393337,0.35554862,0.056715697
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.007011794,0.018463947,0.643293321,0.331230938
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.021489225,0.272737443,0.671436906,0.034336422
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.002267204,0.503058851,0.48432973,0.010344218
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.002065517,0.022807157,0.359573156,0.615554154
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.000652467,0.237908646,0.759367049,0.002071738
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.006325707,0.597138584,0.387553811,0.008981945
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.000213504,0.014612412,0.717375576,0.267798483
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.011358246,0.842892766,0.142956525,0.002792475
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.018084103,0.085642762,0.814353347,0.081919812
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.002842006,0.001344769,0.042778995,0.953034222
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.000374055,0.038390651,0.861568451,0.099666804
